рубрика,исполнитель,песня,имя,ссылка,доп аккорды,id
советские песни,веселые ребята ,всё что в жизни есть у меня,виа,https://123.amdm.ru/akkordi/samocveti/97506/vse_chto_v_zhizni_est_u_menya/,,l1oeqi
советские песни,герман,надежда (светит незнакомая звезда),анна,https://123.amdm.ru/akkordi/anna_german/14861/nadezhda/,,9a58f0
советские песни,герман,город влюблённых людей,анна,https://123.amdm.ru/akkordi/anna_german/160397/gorod_vlyblennih_lydey/,,gjitbw
советские песни,герман,эхо любви,анна,https://123.amdm.ru/akkordi/anna_german/99316/mi_eho/,,r0bf2r
советские песни,голубые гитары,ветер северный,виа,https://123.amdm.ru/akkordi/golubie_gitari/135412/veter_severniy/,,vyccil
советские песни,земляне,трава у дома,,https://123.amdm.ru/akkordi/zemlane/745/trava_u_doma/,,wuteu9
советские песни,"и рок-оперы ""юнона и авось""",я тебя никогда не забуду,,https://123.amdm.ru/akkordi/unona_i_avos/136908/ya_tebya_nikogda_ne_zabudu/,,re0208
советские песни,"из к/ф ""17 мгновений весны""","грусть моя, ты покинь меня",иосиф кобзон,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/102745/pesnya_o_dalekoy_rodine/,,ogzv47
советские песни,"из к/ф ""17 мгновений весны""",мгновения,иосиф кобзон,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14906/mgnoveniya_kf_17_mgnoveniy_vesni/,,3jpuok
советские песни,"из к/ф ""большое космическое приключение""",я тебе конечно верю ,,https://pro-gitaru.ru/ya-tebe-konechno-veryu/,,n9shht
советские песни,"из к/ф ""бриллиантовая рука""",остров невезения,андрей миронов,https://123.amdm.ru/akkordi/andrei_mironov/23982/ostrov_nevezeniya/,,11vdzi
советские песни,"из к/ф ""бриллиантовая рука""",песня про зайцев (а нам всё равно),юрий никулин,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14760/pesenka_pro_zaycev_kf_brilliantovaya_ruka/,,46jtwi
советские песни,"из к/ф ""вам и не снилось""",последняя поэма (смерть побеждающий вечный закон),,https://123.amdm.ru/akkordi/alla/114119/poslednyaya_poema/,,io17ss
советские песни,"из к/ф ""весна на заречной улице""","когда весна придёт, не знаю (весна на заречной улице)",,"https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/106761/vesna_na_zarechnoy_ulice/#:~:text=Am%20Em%20H%D0%BE%20%D1%82%D1%8B%20%D0%BC%D0%BD%D0%B5%2C%20%D1%83%D0%BB%D0%B8%D1%86%D0%B0%20%D1%80%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F%2C%20B7%20Em%20%D0%98,B7%20Em%20%D0%A1%D0%B5%D0%BC%D1%8C%D1%8F%20%D0%B8%D1%81%D0%BF%D1%8B%D1%82%D0%B0%D0%BD%D0%BD%D1%8B%D1%85%20%D0%B4%D1%80%D1%83%D0%B7%D0%B5%D0%B9.",,h2zj9b
советские песни,"из к/ф ""гостья из будущего""",прекрасное далёко,,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/3018/prekrasnoe_daleko_kf_gostya_iz_buduschego/,,25zyft
советские песни,"из к/ф ""девчата""",старый клён,,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14596/stariy_klen_kf_devchata/,,c94h4j
советские песни,"из к/ф ""дом, в котором живу""",тишина за рогожской заставою,,"https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/132048/tishina_za_rogozhskoy_zastavoy_hf_dom_v_kotorom_ya_zhivu/#:~:text=Am%20Em%20F%20%D0%A2%D0%B8%D1%88%D0%B8%D0%BD%D0%B0%20%D0%B7%D0%B0,B7%20E7%20%D0%A1%D0%B5%D0%BC%D0%B8%D1%81%D1%82%D1%80%D1%83%D0%BD%D0%BD%D0%BE%D0%B9%20%D0%B3%D0%B8%D1%82%D0%B0%D1%80%D1%8B%20%D0%BC%D0%BE%D0%B5%D0%B9!",,ryglbp
советские песни,"из к/ф ""иван васильевич меняет профессию""",звенит январская вьюга,нина бродская,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/15365/zvenit_yanvarskaya_vyga_kf_ivan_vasilevich_menyaet_professiy/,,9toedh
советские песни,"из к/ф ""иван васильевич меняет профессию""",разговор со счастьем (вдруг как в сказке скрипнула дверь),,"https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14679/razgovor_so_schastem_kf_ivan_vasilevich_menyaet_professiy/#:~:text=Am%20E7%20%D0%9F%D1%80%D0%B8%D0%BF%D0%B5%D0%B2%3A%20%D0%92%D0%B4%D1%80%D1%83%D0%B3%2C%20%D0%BA%D0%B0%D0%BA,%D0%B7%D1%80%D1%8F%2C%20Am%20%D0%9D%D0%B5%20%D0%BD%D0%B0%D0%BF%D1%80%D0%B0%D1%81%D0%BD%D0%BE%20%D0%B1%D1%8B%D0%BB%D0%BE!",,u1gajn
советские песни,"из к/ф ""ирония судьбы""","мне нравится, что вы больны не мной",,https://123.amdm.ru/akkordi/marina_cvetaeva/186652/mne_nravitsya_chto_vi_bolni_ne_mnoy/,,7sfhr9
советские песни,"из к/ф ""ирония судьбы""",ария московского гостя (если у вас нету тети),,"https://123.amdm.ru/akkordi/nikitin_sergei/139269/esli_u_vas_netu_teti/#:~:text=Am%20E7%20Am%20%D0%95%D1%81%D0%BB%D0%B8%20%D1%83%20%D0%B2%D0%B0%D1%81%20%D0%BD%D0%B5%D1%82%D1%83%20%D1%82%D0%B5%D1%82%D0%B8%2C%20Dm%20G7,C%20A%20%D1%82%D1%80%D1%83%D0%B1%D0%B0%D1%87%20%D0%B2%D1%8B%D0%B4%D1%83%D0%B2%D0%B0%D0%B5%D1%82%20%D0%BC%D0%B5%D0%B4%D1%8C.",,a433vn
советские песни,"из к/ф ""ирония судьбы""",я спросил у ясеня,,https://123.amdm.ru/akkordi/nikitin_sergei/89389/ya_sprosil_u_yasenya/,,ruj2ha
советские песни,"из к/ф ""ирония судьбы""",на тихорецкую состав отправится,,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14862/na_tihoreckuy_kf_ironiya_sudbi_ili_s_legkim_parom/,,51weq6
советские песни,"из к/ф ""кавказская пленница""",песенка о медведях (где-то на белом свете),,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/99660/pesenka_o_medvedyah_kf_kavkazskaya_plennica/,,4lrted
советские песни,"из к/ф ""карнавал""","позвони мне, позвони",,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14725/pozvoni_mne_pozvoni_kf_karnaval/,,3qkgdb
советские песни,"из к/ф ""мэри поппинс, до свидания""",ветер перемен,,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/89656/veter_peremen_kf_meri_poppins_do_svidaniya/,,whpn2a
советские песни,"из к/ф ""неуловимые мстители""",песня неуловимых мстителей (бьют свинцовые ливни...),,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/89119/pesnya_neulovimih_mstiteley_kf_neulovimie_mstiteli/,,7i2v8e
советские песни,"из к/ф ""неуловимые мстители""",погоня (в горячей крови),,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/89125/pogonya_kf_novie_priklycheniya_neulovimih/,,n32bn3
советские песни,"из к/ф ""неуловимые мстители""",песня яшки-цыгана (спрячь за решётку),,https://123.amdm.ru/akkordi/vasiliy_vasilev/131575/pesnya_yashki_cigana/,,sufjkc
советские песни,"из к/ф ""операция ы и другие приключения шурика""","постой, паровоз",,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/130120/postoy_parovoz_ost_operaciya_i/,,hdjjjc
советские песни,"из к/ф ""пять вечеров""",губы окаянные,,https://123.amdm.ru/akkordi/ulii_kim/131660/gubi_okayannie/,,z4pv6n
советские песни,"из к/ф ""русское поле"" ","ой, мамочка",,"https://123.amdm.ru/akkordi/narodnye_i_zastolnye_pesni/187377/ah_mamochka/#:~:text=%D1%82%D1%8B%20%D0%B1%D1%8B%D0%BB%D0%B0%20%D0%BF%D1%80%D0%B0%D0%B2%D0%B0.-,Am%20%D0%90%D1%85%2C%20%D0%BC%D0%B0%D0%BC%D0%BE%D1%87%D0%BA%D0%B0%2C%20%D0%BD%D0%B0%20%D1%81%D0%B0%D0%BD%D0%BE%D1%87%D0%BA%D0%B0%D1%85%20G%20%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%B0%D1%81%D1%8C%20%D1%8F%20%D0%B2%D0%B5%D0%B7%D0%B4%D0%B5%2C,%D0%9A%D0%B0%D0%BA%20%D0%B6%D0%B5%20%D1%82%D1%8B%20%D0%B1%D1%8B%D0%BB%D0%B0%20%D0%BF%D1%80%D0%B0%D0%B2%D0%B0.",,yv8dhg
советские песни,"из к/ф ""чародеи""",снежинка,,https://123.amdm.ru/akkordi/charodei/5911/snezhinka/,,kybz2z
советские песни,"из к/ф ""чародеи""",три белых коня,,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14569/tri_belih_konya_kf_charodei/,,kkjtqw
советские песни,"из м/ф ""бременские музыканты""",серенада трубадура (луч солнца золотого),муслим магомаев,https://123.amdm.ru/akkordi/gennadiy_gladkov/91258/luch_solnca_zolotogo/,,oo2lpn
советские песни,"из м/ф ""крошка енот""",улыбка (от улыбки станет всем светлей),,https://123.amdm.ru/akkordi/pesni_iz_multfilmov/135448/ot_ulibki/,,o07j8b
советские песни,"из м/ф ""трям здравствуйте""","облака, белогривые лошадки",,https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/23146/oblaka_mf_ezhik_i_medvezhonok/,,bb5tfi
советские песни,к/ф коллеги,палуба ,,https://123.amdm.ru/akkordi/vladimir_markin/128002/paluba/,,6lbohu
советские песни,кельми,замыкая круг,крис,https://123.amdm.ru/akkordi/raznye_pesni/1035/zamikaya_krug/,,t51e1q
советские песни,кристаллинская,нежность (опустела без тебя земля),майя,https://123.amdm.ru/akkordi/anna_german/162417/nezhnost/,,dyychx
советские песни,кристаллинская,царевна-несмеяна (ты стоишь у окна),майя,https://123.amdm.ru/akkordi/vladimir_markin/1439/carevna_nesmeyana/,,14hmfq
советские песни,кристаллинская,первые шаги (топ-топ топает малыш),майя,https://www.oduvanchik.net/view_song.php?id=15092,,5etp65
советские песни,лейся песня,качается вагон,виа,https://123.amdm.ru/akkordi/vacheslav_dobrinin/115199/kachaetsya_vagon/,,9plbkw
советские песни,лещенко,ах эти чёрные глаза,пётр,https://123.amdm.ru/akkordi/petr_leschenko/160385/chernie_glaza/,,xlozgn
советские песни,лещенко,у самовара я и моя маша,пётр ,https://ru.guitarsongs.club/song/35750,,ldswsw
советские песни,лещенко ,"всё, что было",пётр,https://www.ackordofmine.ru/index/pjotr_leshhenko_vsjo_chto_bylo_akkordy_i_tekst_pesni/0-6695,,d72p05
советские песни,магомаев,лучший город земли (песня плывёт),муслим,https://123.amdm.ru/akkordi/muslim_magomaev/102625/luchshiy_gorod_zemli/,,nyhzxo
советские песни,магомаев,королева красоты,муслим,https://123.amdm.ru/akkordi/muslim_magomaev/9794/koroleva_krasoti/,,ay0frs
советские песни,магомаев,"о море, море",муслим,https://123.amdm.ru/akkordi/myslim_magomaev/135421/o_more_more_sinyaya_vechnost/,,qiqost
советские песни,макаров,последняя электричка,владимир,https://123.amdm.ru/akkordi/vladimir_makarov/129216/poslednyaya_elektrichka/,,16xl2d
советские песни,миансарова,рудерик (рыжик),тамара,https://textypesen.com/tamara-miansarova/ryzhik/,,yjuzcq
советские песни,мулерман,"хмуриться не надо, лада",вадим,https://www.oduvanchik.net/view_song.php?id=20598,,w2ed3j
советские песни,ободзинский,эти глаза напротив,валерий,https://123.amdm.ru/akkordi/valerii_obodzinskii/157299/eti_glaza_naprotiv/,,3g6s2u
советские песни,пахоменко,сегодня праздник у девчат,мария,https://pesni.guru/text/%D0%BC%D0%B0%D1%80%D0%B8%D1%8F-%D0%BF%D0%B0%D1%85%D0%BE%D0%BC%D0%B5%D0%BD%D0%BA%D0%BE-%D0%B4%D0%B5%D0%B2%D1%87%D0%B0%D1%82%D0%B0,,0yielr
советские песни,песняры,беловежская пуща,,https://123.amdm.ru/akkordi/pesnari/1510/belovezhskaya_puscha/,,o5vso4
советские песни,пламя,не надо печалиться,виа,https://123.amdm.ru/akkordi/samocveti/13440/ne_nado_pechalitsya/,,w6gmpf
советские песни,поющие гитары,сумерки,виа,https://www.ackordofmine.ru/index/via_pojushhie_gitary_sumerki_pravilnye_akkordy_pesni_tekst_boj_na_gitare/0-4369,,tisq86
советские песни,поющие сердца ,кто тебе сказал (каждый день каждый взгляд),виа,"https://123.amdm.ru/akkordi/pouschie_serdca/174064/kto_tebe_skazal/#:~:text=%D0%9F%D0%BE%D1%8E%D1%89%D0%B8%D0%B5%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B0%20%2D%20%D0%9A%D1%82%D0%BE%20%D1%82%D0%B5%D0%B1%D0%B5%20%D1%81%D0%BA%D0%B0%D0%B7%D0%B0%D0%BB%2C%20%D0%B0%D0%BA%D0%BA%D0%BE%D1%80%D0%B4%D1%8B,-%D0%9F%D1%80%D0%BE%D0%BA%D1%80%D1%83%D1%82%D0%BA%D0%B0&text=Am%20F%20%D0%A5%D0%BE%D1%87%D0%B5%D1%88%D1%8C%2C%20%D1%8F%20%D0%B2,Am%20%D0%A2%D0%B2%D0%BE%D0%B9%20%D0%B2%20%D0%B4%D1%83%D1%88%D0%B5%20%D0%B1%D0%B5%D1%80%D0%B5%D0%B3%D1%83.",,6j5sjy
советские песни,самоцветы,мой адрес - советский союз,виа,https://123.amdm.ru/akkordi/samocveti/11320/moy_adres_sovetskiy_soyz/,,esmztl
советские песни,тенносаар,летка-енка (как-то ночью по пустой дороге),кальмер,https://123.amdm.ru/akkordi/garik_sykachev/110804/letka_enka/,,v38efp
советские песни,трошин,подмосковные вечера,владимир,https://123.amdm.ru/akkordi/vladimir_troshin/143221/podmoskovnie_vechera/,,47g8f9
советские песни,утёсов,утомлённое солнце,леонид,http://www.gitaristam.ru/accords/rus/theme/Kino/utomlennoe_solnce.text.htm,,zs73yx
советские песни,утёсов,дорогие москвичи,леонид,https://123.amdm.ru/akkordi/leonid_ytesov/159001/dorogie_moi_moskvichi/,,fhbr6w
советские песни,утёсов,мишка,леонид,"https://123.amdm.ru/akkordi/leonid_ytesov/167660/mishka_odessit/#:~:text=Dm%20Am%20%D0%92%D0%B5%D0%B4%D1%8C%20%D1%82%D1%8B%20%D0%BC%D0%BE%D1%80%D1%8F%D0%BA,%D0%9C%D0%BE%D0%BB%D0%BE%D0%B4%D0%B5%D0%BD%D1%8C%D0%BA%D0%B8%D0%B9%20%D0%BF%D0%B0%D1%80%D0%BD%D0%B8%D1%88%D0%BA%D0%B0%20%D0%B2%20%D0%B1%D1%83%D1%88%D0%BB%D0%B0%D1%82%D0%B8%D0%BA%D0%B5%20%D0%BC%D0%BE%D1%80%D1%81%D0%BA%D0%BE%D0%BC.",,oeug3m
советские песни,утёсов,"сердце, тебе не хочется покоя",леонид,https://123.amdm.ru/akkordi/leonid_ytesov/89877/kak_mnogo_devushek_horoshih/,,4eemhv
советские песни,утёсов,у чёрного моря,леонид,https://123.amdm.ru/akkordi/leonid_ytesov/95664/u_chernogo_morya/,,fgpew4
советские песни,утёсов,песня старого извозчика,леонид,https://123.amdm.ru/akkordi/raznye_pesni/4713/pesnya_starogo_izvozchika/,,fnf7nf
советские песни,утёсов,московские окна,леонид,https://123.amdm.ru/akkordi/raznye_pesni/6054/moskovskie_okna/,,cg84l2
советские песни,утёсов,джаз-болельщик,леонид,https://mirpesen.com/ru/utesov-leonid/dzhaz-bolel-shhik.html,,yumno1
советские песни,утёсов,случайный вальс,леонид,https://www.5lad.ru/akkordy/leonid-utesov/sluchajnyj-vals,,no1xaz
советские песни,утёсов,ленинградские мосты,леонид,https://www.ackordofmine.ru/index/leonid_utjosov_leningradskie_mosty_akkordy_k_pesne/0-9225,,kbp7kk
советские песни,утёсов,одесский порт,леонид,https://www.oduvanchik.net/view_song.php?id=8100,,imdgqg
советские песни,фрейндлих,у природы нет плохой погоды,алиса,"https://123.amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14549/u_prirodi_net_plohoy_pogodi_kf_sluzhebniy_roman/#:~:text=%D0%92%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%3A%20Em%20Am%20B%20Em,E9%20%D0%92%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20%D0%BE%D0%B4%D0%B8%D0%BD%D0%BE%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B0%20%D0%BF%D0%B5%D1%87%D0%B0%D1%82%D1%8C.",,7bwxqk
советские песни,френкель,август (скоро осень),ян,https://123.amdm.ru/akkordi/nina_brodskaya/125408/avgust/,,5p50l2
советские песни,френкель,"журавли (мне кажется порою, что солдаты)",ян,https://123.amdm.ru/akkordi/voennye_armeyskie_pesni/139374/mne_kazhetsya_poroy_chto_soldati/,,5aqya0
советские песни,ялла,учкудук,виа,https://123.amdm.ru/akkordi/yalla/100998/uchkuduk/,,6gtw1b
советские песни,,вечер на рейде (прощай любимый город),,https://123.amdm.ru/akkordi/vasiliy_petrovich_vorobjev-sedoy/165397/vecher_na_reyde_avtor_slov_aleksandr_churkin/,,uoxfk8
советские песни,утёсов,тайна (у меня есть сердце),леонид,https://123.amdm.ru/akkordi/leonid_utesov/102325/tayna/,,x46ebm
советские песни,северный,пьяненькая печаль,аркадий,,,qcondk
советские песни,северный,годы мчатся,аркадий,https://123.amdm.ru/akkordi/arkadiy_severnyy/102140/gody_mchatsya/,,eyoe19
советские песни,"из м/ф ""стойкий оловянный солдатик""","да, любимая, да",елена камбурова,https://123.amdm.ru/akkordi/kamburova_elena/107646/da_lybimaya_da/,,p6rdxp
советские песни,,на сопках манчжурии,,https://www.oduvanchik.net/view_song.php?id=10579,,z4djca
русская поп-музыка,любэ ,ты неси меня река,,https://123.amdm.ru/akkordi/lyubeh/90411/ty_nesi_menya_reka/,,zyb3p6
русская поп-музыка,любэ ,позови меня тихо по имени,,https://123.amdm.ru/akkordi/lyubeh/91477/pozovi_menya_tiho_po_imeni/,,z6yy0s
зарубежное,квин,who wants to live forever,,https://123.amdm.ru/akkordi/queen/16507/who_wants_to_live_forever/,,7n1dse
зарубежное,квин,i want to break free,,https://123.amdm.ru/akkordi/queen/101349/i_want_to_break_free/,,wia1m1
зарубежное,квин,love of my life,,https://123.amdm.ru/akkordi/queen/121426/love_of_my_life/,,rl42ne
зарубежное,квин,we are the champions,,https://123.amdm.ru/akkordi/queen/72219/we_are_the_champions/,,ts09ek
русский рок,трубецкой,капитал,ляпис,https://123.amdm.ru/akkordi/lyapis_trubetskoy/94055/kapital/,,heklxb
зарубежное,квин,show must go on,,https://123.amdm.ru/akkordi/queen/95587/the_show_must_go_on/,,gdvkcy
детские песни,"из м/ф ""летучий корабль""",песенка водяного,,https://123.amdm.ru/akkordi/raznye_pesni/23560/pesenka_vodyanogo/,,9be4hj
детские песни,"из м/ф ""летучий корабль""","ах, если бы сбылась моя мечта",,https://123.amdm.ru/akkordi/pesni_iz_multfilmov/108745/letuchiy_korabl_ah_esli_by_sbylas_moya_mechta/,,wbxy7v
советские песни,камбурова,вот опять окно,елена,https://mychords.net/ru/kamburova_e/165773-kamburova-elena-vot-opyat-okno.html,,5vx1dz
советские песни,камбурова,маленький принц,елена,https://123.amdm.ru/akkordi/kamburova_elena/90690/malenkiy_princ/,,wlqpgz
советские песни,северный,семь сорок,аркадий,https://123.amdm.ru/akkordi/arkadiy_severnyy/91963/sem_sorok/,,nvytn3
русская поп-музыка,маша и медведи,любочка,,https://123.amdm.ru/akkordi/masha_i_medvedi/1597/lybochka/,,kw0psm
русская поп-музыка,лепс,самый лучший день,григорий,https://123.amdm.ru/akkordi/grigoriy_leps/96369/samiy_luchshiy_den/,,5o9b8t
русская поп-музыка,натали,"о боже, какой мужчина!",,https://123.amdm.ru/akkordi/natali/102357/o_bozhe_kakoy_muzhchina/,,xyih00
русская поп-музыка,ёлка,прованс (уютное кафе),,https://123.amdm.ru/akkordi/elka/102407/provans/,,stnl97
русская поп-музыка,успенская,пропадаю я,любовь,https://123.amdm.ru/akkordi/lyubov_uspenskaya/141375/propaday_ya/,,ne0szh
русская поп-музыка,мираж,музыка нас связала,,https://123.amdm.ru/akkordi/mirazh/93508/muzika_nas_svyazala/,,8hnrhn